[ INFO] 2017-03-04 11:10:26,810 [anonymous] [192.168.0.103] RECEIVED: TYPE I
[ INFO] 2017-03-04 11:10:26,811 [anonymous] [192.168.0.103] SENT: 200 Command TYPE okay.

[ INFO] 2017-03-04 11:10:26,812 [anonymous] [192.168.0.103] RECEIVED: SIZE /
[ INFO] 2017-03-04 11:10:26,813 [anonymous] [192.168.0.103] SENT: 550 /: Not a plain file.

[ INFO] 2017-03-04 11:10:26,813 [anonymous] [192.168.0.103] RECEIVED: CWD /
[ INFO] 2017-03-04 11:10:26,815 [anonymous] [192.168.0.103] SENT: 250 Directory changed to /

[ INFO] 2017-03-04 11:10:26,816 [anonymous] [192.168.0.103] RECEIVED: PASV
[ INFO] 2017-03-04 11:10:26,820 [anonymous] [192.168.0.103] SENT: 227 Entering Passive Mode (192,168,0,103,201,225)

[ INFO] 2017-03-04 11:10:26,821 [anonymous] [192.168.0.103] RECEIVED: LIST -l
[ WARN] 2017-03-04 11:10:26,838 [anonymous] [192.168.0.103] Releasing unreserved passive port: 51681
[ INFO] 2017-03-04 11:10:26,838 [anonymous] [192.168.0.103] SENT: 150 File status okay; about to open data connection.

[ INFO] 2017-03-04 11:10:26,841 [anonymous] [192.168.0.103] CLOSED
[ INFO] 2017-03-04 11:10:28,829 [] [192.168.0.103] CREATED
[ INFO] 2017-03-04 11:10:28,829 [] [192.168.0.103] OPENED
[ INFO] 2017-03-04 11:10:28,894 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-04 11:10:28,895 [] [192.168.0.103] RECEIVED: USER anonymous
[ INFO] 2017-03-04 11:10:28,895 [anonymous] [192.168.0.103] SENT: 331 Guest login okay, send your complete e-mail address as password.

[ INFO] 2017-03-04 11:10:28,896 [anonymous] [192.168.0.103] RECEIVED: PASS *****
[ INFO] 2017-03-04 11:10:28,896 [anonymous] [192.168.0.103] Anonymous login success - chrome@example.com
[ INFO] 2017-03-04 11:10:28,897 [anonymous] [192.168.0.103] SENT: 230 User logged in, proceed.

[ INFO] 2017-03-04 11:10:28,897 [anonymous] [192.168.0.103] RECEIVED: SYST
[ INFO] 2017-03-04 11:10:28,897 [anonymous] [192.168.0.103] SENT: 215 UNIX Type: Apache FtpServer

[ INFO] 2017-03-04 11:10:28,898 [anonymous] [192.168.0.103] RECEIVED: PWD
[ INFO] 2017-03-04 11:10:28,898 [anonymous] [192.168.0.103] SENT: 257 "/" is current directory.

[ INFO] 2017-03-04 11:10:28,898 [anonymous] [192.168.0.103] RECEIVED: TYPE I
[ INFO] 2017-03-04 11:10:28,899 [anonymous] [192.168.0.103] SENT: 200 Command TYPE okay.

[ INFO] 2017-03-04 11:10:28,899 [anonymous] [192.168.0.103] RECEIVED: SIZE /
[ INFO] 2017-03-04 11:10:28,900 [anonymous] [192.168.0.103] SENT: 550 /: Not a plain file.

[ INFO] 2017-03-04 11:10:28,900 [anonymous] [192.168.0.103] RECEIVED: CWD /
[ INFO] 2017-03-04 11:10:28,901 [anonymous] [192.168.0.103] SENT: 250 Directory changed to /

[ INFO] 2017-03-04 11:10:28,901 [anonymous] [192.168.0.103] RECEIVED: PASV
[ INFO] 2017-03-04 11:10:28,902 [anonymous] [192.168.0.103] SENT: 227 Entering Passive Mode (192,168,0,103,201,228)

[ INFO] 2017-03-04 11:10:28,903 [anonymous] [192.168.0.103] RECEIVED: LIST -l
[ WARN] 2017-03-04 11:10:28,910 [anonymous] [192.168.0.103] Releasing unreserved passive port: 51684
[ INFO] 2017-03-04 11:10:28,910 [anonymous] [192.168.0.103] SENT: 150 File status okay; about to open data connection.

[ INFO] 2017-03-04 11:10:28,910 [anonymous] [192.168.0.103] SENT: 226 Closing data connection.

[ INFO] 2017-03-04 11:10:28,910 [anonymous] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-04 11:10:28,912 [anonymous] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-04 11:10:28,912 [anonymous] [192.168.0.103] CLOSED
[ INFO] 2017-03-04 11:10:30,658 [] [192.168.0.103] CREATED
[ INFO] 2017-03-04 11:10:30,659 [] [192.168.0.103] OPENED
[ INFO] 2017-03-04 11:10:30,662 [] [192.168.0.103] SENT: 220 Service ready for new user.

[ INFO] 2017-03-04 11:10:30,662 [] [192.168.0.103] RECEIVED: USER anonymous
[ INFO] 2017-03-04 11:10:30,663 [anonymous] [192.168.0.103] SENT: 331 Guest login okay, send your complete e-mail address as password.

[ INFO] 2017-03-04 11:10:30,664 [anonymous] [192.168.0.103] RECEIVED: PASS *****
[ INFO] 2017-03-04 11:10:30,665 [anonymous] [192.168.0.103] Anonymous login success - chrome@example.com
[ INFO] 2017-03-04 11:10:30,665 [anonymous] [192.168.0.103] SENT: 230 User logged in, proceed.

[ INFO] 2017-03-04 11:10:30,665 [anonymous] [192.168.0.103] RECEIVED: SYST
[ INFO] 2017-03-04 11:10:30,666 [anonymous] [192.168.0.103] SENT: 215 UNIX Type: Apache FtpServer

[ INFO] 2017-03-04 11:10:30,666 [anonymous] [192.168.0.103] RECEIVED: PWD
[ INFO] 2017-03-04 11:10:30,667 [anonymous] [192.168.0.103] SENT: 257 "/" is current directory.

[ INFO] 2017-03-04 11:10:30,667 [anonymous] [192.168.0.103] RECEIVED: TYPE I
[ INFO] 2017-03-04 11:10:30,668 [anonymous] [192.168.0.103] SENT: 200 Command TYPE okay.

[ INFO] 2017-03-04 11:10:30,668 [anonymous] [192.168.0.103] RECEIVED: SIZE /README.txt
[ INFO] 2017-03-04 11:10:30,670 [anonymous] [192.168.0.103] SENT: 213 28

[ INFO] 2017-03-04 11:10:30,670 [anonymous] [192.168.0.103] RECEIVED: CWD /README.txt
[ INFO] 2017-03-04 11:10:30,672 [anonymous] [192.168.0.103] SENT: 550 No such directory.

[ INFO] 2017-03-04 11:10:30,672 [anonymous] [192.168.0.103] RECEIVED: PASV
[ INFO] 2017-03-04 11:10:30,673 [anonymous] [192.168.0.103] SENT: 227 Entering Passive Mode (192,168,0,103,201,231)

[ INFO] 2017-03-04 11:10:30,674 [anonymous] [192.168.0.103] RECEIVED: RETR /README.txt
[ INFO] 2017-03-04 11:10:30,727 [anonymous] [192.168.0.103] File downloaded /README.txt
[ WARN] 2017-03-04 11:10:30,728 [anonymous] [192.168.0.103] Releasing unreserved passive port: 51687
[ INFO] 2017-03-04 11:10:30,728 [anonymous] [192.168.0.103] SENT: 150 File status okay; about to open data connection.

[ INFO] 2017-03-04 11:10:30,728 [anonymous] [192.168.0.103] SENT: 226 Transfer complete.

[ INFO] 2017-03-04 11:10:30,728 [anonymous] [192.168.0.103] RECEIVED: QUIT
[ INFO] 2017-03-04 11:10:30,729 [anonymous] [192.168.0.103] SENT: 221 Goodbye.

[ INFO] 2017-03-04 11:10:30,730 [anonymous] [192.168.0.103] CLOSED
[ INFO] 2017-03-04 11:10:32,315 [] [192.168.0.103] CREATED
[ INFO] 2017-03-04 11:10:32,315 [] [192.168.0.103] OPENED
[ INFO] 2017-03-04 11:10:32,316 [] [192.168.0.103] SENT: 220 Service ready for new user.

